,Skills Gap Analysis Template,,,,,,,,,
,Key Skills & Competencies,,,,,,,,,
, ,,,,,,,,,
,"Instructions:
1. Fill in the name of the team.
2. Enter the skills that are required for the team and briefly describe each skill.
3. Rate the skill importance on a scale from 1 to 5 based on the 1st table on the right-hand side.
4. Rate the skill level required on a scale from 1 to 5 based on the 2nd table on the right-hand side.",,,,,,,,,
,,,,,,,,,,
,TEAM,Organizational Development,,,,,,,,
,,,,,,,,,,
,SKILL/COMPETENCY,Skill Description,Skill Importance,Skill Level Required,,Skill Importance Levels,,,Skill Level Requirements,
,Business Acumen,Strategic thinking / Problem solving / Market Value Composition /Decision-making / Critical Thinking  /Numerical reasoning,4,3,,Rating,Meaning,,Rating,Meaning
,Project Management,Ownership / Allocation of Resources / KPIs setting & monitoring / Identification of needs & project design,3,4,,1,Not Important: Peripheral to the job role; a 'nice-to-have' but not essential.,,1,Novice: Limited understanding of the skill. Requires significant guidance and is in the early stages of learning.
,HR tools,Performance analysis & evaluation / SWOT analysis / Productivity metrics / People analytics / Workforce analysis,4,4,,2,"Of Minor Importance: Occasionally useful, but not central; enhances some tasks.",,2,Basic: Has foundational knowledge but lacks hands-on experience. Can perform simple tasks with some assistance.
,EQ,Stakeholders' management / Conflict management / Resilience / Adaptive to change / Flexibility,5,4,,3,Moderately Important: Regularly used; expected for the role.,,3,Competent: Comfortable with the skill. Can perform tasks independently but may require occasional guidance for complex challenges.
,People management,Ability to inspire and motivate /  Effective communication / Constructive Feedback / Talent management,4,3,,4,Very Important: Frequently used; absence hinders performance; defining for the role.,,4,Proficient: Strong understanding with extensive hands-on experience. Can handle complex tasks and resolve issues effectively.
,,,,,,5,Critically Important: Indispensable for primary responsibilities; must-have for the job.,,5,Expert: Mastery of the skill. Recognized as a go-to person for challenges and can guide or train others.
